timestamp,volume,y_pred
2015-11-04 22:15:00,30,28
2015-11-04 22:20:00,22,27
2015-11-04 22:25:00,26,26
2015-11-04 22:30:00,17,25
2015-11-04 22:35:00,17,24
2015-11-04 22:40:00,29,24
2015-11-04 22:45:00,17,23
2015-11-04 22:50:00,18,22
2015-11-04 22:55:00,21,21
2015-11-04 23:00:00,16,21
2015-11-04 23:05:00,12,20
2015-11-04 23:10:00,26,20
2015-11-04 23:15:00,11,19
2015-11-04 23:20:00,20,19
2015-11-04 23:25:00,21,18
2015-11-04 23:30:00,13,18
2015-11-04 23:35:00,22,17
2015-11-04 23:40:00,21,17
2015-11-04 23:45:00,16,16
2015-11-04 23:50:00,15,16
2015-11-04 23:55:00,12,16
2015-11-05 00:00:00,15,15
2015-11-05 00:05:00,14,15
2015-11-05 00:10:00,13,15
2015-11-05 00:15:00,14,14
2015-11-05 00:20:00,21,14
2015-11-05 00:25:00,9,14
2015-11-05 00:30:00,10,14
2015-11-05 00:35:00,5,13
2015-11-05 00:40:00,5,13
2015-11-05 00:45:00,6,13
2015-11-05 00:50:00,7,13
2015-11-05 00:55:00,13,13
2015-11-05 01:00:00,9,12
2015-11-05 01:05:00,14,12
2015-11-05 01:10:00,15,12
2015-11-05 01:15:00,8,12
2015-11-05 01:20:00,7,11
2015-11-05 01:25:00,8,11
2015-11-05 01:30:00,8,11
2015-11-05 01:35:00,11,11
2015-11-05 01:40:00,7,10
2015-11-05 01:45:00,14,10
2015-11-05 01:50:00,4,10
2015-11-05 01:55:00,10,9
2015-11-05 02:00:00,9,9
2015-11-05 02:05:00,5,9
2015-11-05 02:10:00,3,8
2015-11-05 02:15:00,9,8
2015-11-05 02:20:00,4,8
2015-11-05 02:25:00,4,7
2015-11-05 02:30:00,6,7
2015-11-05 02:35:00,3,7
2015-11-05 02:40:00,8,6
2015-11-05 02:45:00,5,6
2015-11-05 02:50:00,4,6
2015-11-05 02:55:00,6,5
2015-11-05 03:00:00,5,5
2015-11-05 03:05:00,3,5
2015-11-05 03:10:00,6,4
2015-11-05 03:15:00,4,4
2015-11-05 03:20:00,6,4
2015-11-05 03:25:00,4,3
2015-11-05 03:30:00,4,3
2015-11-05 03:35:00,3,3
2015-11-05 03:40:00,3,3
2015-11-05 03:45:00,5,3
2015-11-05 03:50:00,8,3
2015-11-05 03:55:00,6,3
2015-11-05 04:00:00,5,3
2015-11-05 04:05:00,2,3
2015-11-05 04:10:00,3,3
2015-11-05 04:15:00,5,3
2015-11-05 04:20:00,3,4
2015-11-05 04:25:00,9,4
2015-11-05 04:30:00,3,5
2015-11-05 04:35:00,4,5
2015-11-05 04:40:00,17,6
2015-11-05 04:45:00,22,6
2015-11-05 04:50:00,14,7
2015-11-05 04:55:00,14,8
2015-11-05 05:00:00,18,9
2015-11-05 05:05:00,11,9
2015-11-05 05:10:00,16,10
2015-11-05 05:15:00,11,11
2015-11-05 05:20:00,12,12
2015-11-05 05:25:00,15,14
2015-11-05 05:30:00,11,15
2015-11-05 05:35:00,13,16
2015-11-05 05:40:00,18,17
2015-11-05 05:45:00,21,19
2015-11-05 05:50:00,10,20
2015-11-05 05:55:00,16,22
2015-11-05 06:00:00,15,23
2015-11-05 06:05:00,14,25
2015-11-05 06:10:00,16,26
2015-11-05 06:15:00,25,28
2015-11-05 06:20:00,27,29
2015-11-05 06:25:00,27,31
2015-11-05 06:30:00,44,32
2015-11-05 06:35:00,50,34
2015-11-05 06:40:00,51,36
2015-11-05 06:45:00,44,37
2015-11-05 06:50:00,41,39
2015-11-05 06:55:00,44,40
2015-11-05 07:00:00,42,42
2015-11-05 07:05:00,54,43
2015-11-05 07:10:00,62,45
2015-11-05 07:15:00,60,46
2015-11-05 07:20:00,50,47
2015-11-05 07:25:00,64,49
2015-11-05 07:30:00,83,50
2015-11-05 07:35:00,90,51
2015-11-05 07:40:00,67,52
2015-11-05 07:45:00,66,53
2015-11-05 07:50:00,92,54
2015-11-05 07:55:00,82,55
2015-11-05 08:00:00,76,56
2015-11-05 08:05:00,77,57
2015-11-05 08:10:00,70,58
2015-11-05 08:15:00,65,58
2015-11-05 08:20:00,61,59
2015-11-05 08:25:00,62,59
2015-11-05 08:30:00,77,60
2015-11-05 08:35:00,70,60
2015-11-05 08:40:00,68,60
2015-11-05 08:45:00,62,60
2015-11-05 08:50:00,61,60
2015-11-05 08:55:00,67,60
2015-11-05 09:00:00,50,60
2015-11-05 09:05:00,61,60
2015-11-05 09:10:00,68,60
2015-11-05 09:15:00,70,60
2015-11-05 09:20:00,56,59
2015-11-05 09:25:00,59,59
2015-11-05 09:30:00,63,58
2015-11-05 09:35:00,59,58
2015-11-05 09:40:00,58,57
2015-11-05 09:45:00,54,57
2015-11-05 09:50:00,53,56
2015-11-05 09:55:00,60,55
2015-11-05 10:00:00,58,55
2015-11-05 10:05:00,50,54
2015-11-05 10:10:00,57,53
2015-11-05 10:15:00,52,53
2015-11-05 10:20:00,45,52
2015-11-05 10:25:00,55,51
2015-11-05 10:30:00,40,50
2015-11-05 10:35:00,46,50
2015-11-05 10:40:00,47,49
2015-11-05 10:45:00,44,48
2015-11-05 10:50:00,10,48
2015-11-05 10:55:00,29,47
2015-11-05 11:00:00,46,46
2015-11-05 11:05:00,29,46
2015-11-05 11:10:00,59,45
2015-11-05 11:15:00,39,45
2015-11-05 11:20:00,53,44
2015-11-05 11:25:00,47,44
2015-11-05 11:30:00,47,43
2015-11-05 11:35:00,44,43
2015-11-05 11:40:00,41,43
2015-11-05 11:45:00,43,42
2015-11-05 11:50:00,43,42
2015-11-05 11:55:00,50,42
2015-11-05 12:00:00,47,42
2015-11-05 12:05:00,38,42
2015-11-05 12:10:00,44,41
2015-11-05 12:15:00,37,41
2015-11-05 12:20:00,38,41
2015-11-05 12:25:00,39,41
2015-11-05 12:30:00,44,41
2015-11-05 12:35:00,40,42
2015-11-05 12:40:00,49,42
2015-11-05 12:45:00,24,42
2015-11-05 12:50:00,27,42
2015-11-05 12:55:00,46,42
2015-11-05 13:00:00,39,42
2015-11-05 13:05:00,41,43
2015-11-05 13:10:00,67,43
2015-11-05 13:15:00,44,43
2015-11-05 13:20:00,59,43
2015-11-05 13:25:00,32,44
2015-11-05 13:30:00,51,44
2015-11-05 13:35:00,46,44
2015-11-05 13:40:00,50,45
2015-11-05 13:45:00,47,45
