overheads,ticks,traffic_volumes,traffic_targets,smart_average_speeds_a,smart_average_speeds_h,average_speeds_h,average_speeds_a
1.9585226403282496,29520,178,173.4417083548352,6.17690554990274,1.8132205428279602,5.772996195285956,1.734640399842842
1.958592997761712,29550,178,172.8561716389858,12.740261433933394,4.672000304281272,11.073104485497366,3.3952489397155725
1.9581619126603802,29580,177,172.27063492313644,6.90951599214833,2.3225629207754275,8.198844065404598,2.854980221717083
1.9579964595425101,29610,176,171.685098207287,4.365705934167447,1.4804239608429621,5.629048954600292,1.6947334969398926
1.9578605323844582,29640,176,171.09956149143767,11.267800855811648,3.8639256754674753,12.210220952285868,4.457814904774351
1.9573864487114718,29670,175,170.51402477558824,7.560021258580188,2.5754480636092447,7.492993999904307,2.2364839782373345
1.9572022957428539,29700,174,169.92848805973887,6.5348147695235035,1.9714739106513437,6.068836245571489,1.8345750307961548
1.9570168443516611,29730,174,169.34295134388947,9.314796676569138,4.390527718481977,11.199483670851734,4.413749121948347
1.956788085272398,29760,173,168.7574146280401,8.219633442457685,4.426380902406493,8.328678500087822,2.8112703305975404
1.9565797323968868,29790,172,168.17187791219067,6.499028921361989,2.154112549825134,6.506568096162114,1.9077654587274697
1.9562411553754977,29820,172,167.58634119634132,8.767859569405262,3.7603152081602285,10.351014278369455,3.4464684276528397
1.9562214914766132,29850,172,167.00080448049192,8.333110783372792,3.6962924157726853,8.443401043554543,2.914435805307509
1.955722608171886,29880,171,166.41526776464255,8.58215629379263,3.410633650598276,7.505671274235839,2.192452390691377
1.9553811692636418,29910,170,165.82973104879312,9.679949301847744,4.0734199845080505,10.693626139602733,3.644390686748005
1.9551715226407391,29940,170,165.24419433294375,8.787260762030229,2.8462968886056905,7.5788038633773125,2.4265495051153776
1.9550826798343326,29970,170,164.65865761709435,5.679635757269168,1.8070927811117365,6.27296306230354,1.8992128110946866
1.9550086072358974,30000,169,164.1295654668432,11.101632648385701,3.7566049998008477,11.406565064665315,3.6577386049120286
1.9549328188361899,30030,168,163.60047331659212,6.677746531781413,2.231513453047479,7.9916700645513,2.5134823675104223
1.9544218272355298,30060,167,163.07138116634098,5.909949884396557,2.010168909288167,5.967326799102928,1.8859043602812438
1.9542827281415514,30090,167,162.54228901608988,11.062426921756046,4.022590646846784,11.122152363395562,3.979152609467808
1.9542827281415514,30120,167,162.01319686583872,7.856346317554257,2.8115053584026453,8.101551789990936,2.633389824357953
1.9540266805954205,30150,166,161.48410471558765,6.683862042082315,2.232132969726347,6.6380210430114825,2.0921062075172734
1.9541431794735786,30180,165,160.95501256533652,10.004368104171855,3.5732112721370592,10.900645120637957,3.963350957726703
1.9539603711403062,30210,165,160.42592041508544,7.07213192597957,2.4442794148367444,7.952749194349485,2.6154924031900637
1.953842781388109,30240,165,159.89682826483426,6.081846188771685,1.9720580543139916,6.362229758534911,1.9878855009357104
1.9537190413523446,30270,164,159.36773611458318,8.750347244860581,2.730501984878305,11.06239860715726,3.8431443893358157
1.9538163358059655,30300,163,158.83864396433205,8.052756773585761,3.3057088525462612,7.5684746823538225,2.4446707626266457
1.9536195441869308,30330,163,158.30955181408095,5.285691444912563,1.7784509080444744,5.9342611736021915,1.7395837865830184
1.9535821202613701,30360,163,157.78045966382982,11.695593317528788,3.5283255479542857,11.777825434209753,4.313500206356016
1.9531362046537273,30390,162,157.2513675135787,6.63002075080379,2.127204012850865,7.452308410984125,2.326429126996439
1.9526411074239753,30420,161,156.72227536332758,7.60032143588797,2.3841583599533003,6.715090279227922,2.0185597599319185
1.952373271210486,30450,161,156.19318321307645,8.310418769232907,3.50703290662153,10.570518315831663,3.916581013290429
1.9523503618834663,30480,160,155.66409106282535,8.355296717975557,2.9883187739391968,7.5255477307335665,2.539529244189513
1.9520242839975293,30510,160,155.1349989125742,7.525298277483433,2.3268907608495066,6.116138533040382,1.8222078450001973
1.9520617053318854,30540,159,154.60590676232312,10.990467683842056,3.747603519347718,10.34545263912589,3.4986331165581905
1.9513938030716989,30570,159,154.07681461207198,7.946784463984087,2.431725765056255,7.584867095723495,2.3771005105966267
1.9512509057382166,30600,158,153.54772246182088,6.878733942342731,1.6741764584480818,5.757680287052379,1.693344366068694
1.9509919183796158,30630,157,153.01863031156975,12.135011471393076,3.5262886412886303,11.035548181541717,3.510671244558918
1.9507294724379507,30660,157,152.48953816131865,6.343857118714697,1.996695806483866,7.895739890564675,2.3151846929468625
1.9508281225134951,30690,156,151.96044601106752,4.22009798920204,1.5436836212813905,5.722675365204313,1.6410620998376504
1.9507168950336025,30720,156,151.43135386081642,7.3077856301561335,2.2493680470492396,10.166362262412461,3.264389262880437
1.9506551504797411,30750,156,150.90226171056528,7.244705736955441,2.5847367301882174,7.960052780178132,2.4417925851851305
1.9503647983079,30780,155,150.37316956031418,4.781404518358847,1.679313358052853,5.6620369301179645,1.7819619723308773
1.9502892975755157,30810,155,149.84407741006305,8.5960490599332,2.46104491630581,11.456262412941028,4.435514832052205
1.9503358644224063,30840,154,149.31498525981198,8.41091453186417,2.8703361348343157,7.657634328054949,2.4388112777802404
1.9501983013113142,30870,154,148.78589310956082,5.278550191973233,1.7828313785400407,6.326985795135447,1.8363542128697103
1.9498095837664364,30900,154,149.31498527272672,8.491762928877126,3.323574085155777,10.308490058447761,3.948816929305283
1.9497132057526103,30930,154,149.84407743589253,6.9674253822612044,2.338704287460311,8.3379975419656,2.918354259995414
1.9493371730144453,30960,154,150.37316959905843,6.540116052724,1.910061293964271,6.610910263346161,2.0399420350057285
1.949091443789297,30990,154,150.9022617622243,8.61575887410338,2.9238508619230283,10.384722470947635,3.3608310558355443
