ticks,traffic_volumes,traffic_targets,smart_average_speeds_a,smart_average_speeds_h,average_speeds_h,average_speeds_a
148290,333,329.0230085414146,7.697177656683652,3.197145497856114,7.8797297506772495,2.7538257088868
148320,333,328.631621509709,6.487091330235023,2.165451797094711,6.001332234433931,1.8334838002004468
148350,333,328.2402344780036,8.267112517881761,2.911990518613525,10.438241154141766,3.463468229284006
148380,332,327.8488474462981,7.9202693960824755,3.0343348773207004,7.6849870169913785,2.4418692986945882
148410,332,327.4574604145927,6.6450716016217095,2.2459649700801316,5.717569071980132,1.7730915946780228
148440,332,327.06607338288717,9.05581274386027,3.17757785254365,10.032278010376956,3.362835486295054
148470,331,326.67468635118166,8.329210593757828,3.122644705266863,7.789444351695062,2.5138856967821943
148500,331,326.2832993194762,7.122672087878856,2.380286122384621,6.207040878471272,1.8478914003263343
148530,331,325.8919122877707,8.482220016385819,3.1462380886197847,10.105185728200636,3.5535555057824735
148560,330,325.50052525606526,8.319625394391965,3.067925831480732,8.455575654011277,2.7353334365737045
148590,330,325.10913822435975,6.377762412025599,2.1715461287802196,6.335698500856147,1.9448656580524517
148620,330,324.7177511926543,9.443240892511467,3.2675956059294076,10.01949279041713,3.2107529004584174
148650,329,324.32636416094886,7.968200578185531,2.9483329889845256,8.545171992397922,2.7722125281844407
148680,329,323.9349771292433,6.257208351457176,2.165919426550333,6.219555532416275,1.874115196430867
148710,328,323.54359009753784,7.53491811452545,3.0824442364537408,10.026871977400452,3.4678068482018745
148740,327,323.1522030658324,8.229479003735982,3.0740227048256483,8.013068748625365,2.659552469154358
148770,327,322.7608160341269,6.620771296505712,2.192496608935811,5.412518876000109,1.7337576399344938
148800,327,322.36942900242144,8.477101326259419,2.8955554654638855,9.90291696308506,3.164591968884985
148830,326,321.68722823036103,8.217203322275996,3.0427890397502924,8.673365557546928,2.827032193083958
148860,325,321.0050274583006,6.396832221374044,2.0416316838527337,6.005208505184984,1.8996621923594097
148890,325,320.3228266862402,9.430958060987118,2.8753197551829337,10.157258242409135,3.3811884014608893
148920,325,319.6406259141798,7.490111635845533,2.7129038935950307,7.895401856753582,2.723162226743834
148950,324,318.9584251421194,6.766058565816766,2.1193066538874996,6.12997064037923,1.8562412781239095
148980,323,318.2762243700589,8.599247262194588,3.63735710836834,11.068524950133142,4.070030495544378
149010,322,317.59402359799856,7.85533678822523,3.082882931705858,8.123094297908802,2.7164255137339715
149040,321,316.91182282593815,5.312102432810594,1.9107633164455924,6.005345320674735,1.9569409578758434
149070,321,316.22962205387773,7.697780697414411,2.838822545132099,10.03387156186563,3.4589206041986627
149100,320,315.5474212818173,8.22038208275155,3.0499516088137844,7.996614987848545,2.747931104142694
149130,320,314.8652205097569,6.000980477716778,2.061030407172882,5.847770642682123,1.856893302011333
149160,319,314.1830197376965,8.571034197265092,2.7220573174368954,9.891720929511305,3.036731709379291
149190,318,313.5008189656361,7.279790879585547,2.3231179146018714,8.173515476827902,2.4928381235139576
149220,318,312.8186181935756,5.59455755071449,2.0665981782161476,5.469246304553252,1.7724677115900795
149250,317,312.13641742151526,9.534157468353456,3.225076792645329,10.352975315433403,3.4120663596265417
149280,316,311.4542166494548,6.949110083251826,2.5146543744544707,7.618654650381581,2.466781455397849
149310,315,310.77201587739444,5.073591112746301,1.8302195836196982,5.6928472766853595,1.8058513778452199
149340,315,310.08981510533397,8.726287087954447,2.826377143204394,9.943502644816371,3.3930609719199265
149370,314,309.4076143332736,7.451034247722538,2.6682992585975542,7.168369842532514,2.3857457065061207
149400,313,308.72541356121314,6.039315873514322,1.8677794158430467,5.7695244403385155,1.7947407268927782
149430,312,308.0432127891528,9.12084691731712,3.0973485267356144,10.350936528708923,3.7534656068141374
